produto,ano,fonte,unidade_padrao,preco_mediano,preco_medio,preco_min,preco_max,n_registros,ratio_max_min
losartana,2020,federal,unidade,0.13,0.13,0.08,0.17,2,2.0
losartana,2020,municipal,unidade,0.07,0.07,0.06,0.08,2,1.5
losartana,2021,estadual,unidade,1.36,1.39,0.1,2.43,5,24.3
losartana,2021,municipal,unidade,0.08,0.08,0.08,0.09,4,1.1
losartana,2022,estadual,unidade,0.47,0.51,0.15,0.99,8,6.7
losartana,2022,federal,unidade,0.09,0.09,0.08,0.1,2,1.2
losartana,2022,municipal,unidade,0.05,0.05,0.05,0.06,7,1.2
losartana,2023,estadual,unidade,0.46,1.15,0.07,3.0,10,42.4
losartana,2023,municipal,unidade,0.05,0.05,0.04,0.06,42,1.3
losartana,2024,estadual,unidade,0.73,0.94,0.05,2.06,17,43.5
losartana,2024,federal,unidade,0.27,0.2,0.06,0.27,3,4.5
losartana,2024,municipal,unidade,0.04,0.04,0.03,0.05,25,1.5
losartana,2025,estadual,unidade,0.33,0.84,0.04,2.66,4,66.5
losartana,2025,municipal,unidade,0.03,0.03,0.03,0.04,28,1.4
losartana,2026,municipal,unidade,0.03,0.03,0.03,0.04,7,1.2
luva_procedimento,2019,estadual,caixa_100,21.64,20.35,10.8,25.0,41,2.3
luva_procedimento,2019,federal,caixa_100,29.38,34.81,8.0,65.0,16,8.1
luva_procedimento,2019,municipal,caixa_100,19.21,19.67,16.9,22.9,9,1.4
luva_procedimento,2020,estadual,caixa_100,55.2,55.06,10.64,104.0,204,9.8
luva_procedimento,2020,federal,caixa_100,74.75,74.43,74.0,74.75,7,1.0
luva_procedimento,2020,municipal,caixa_100,30.52,32.58,16.24,54.85,32,3.4
luva_procedimento,2021,estadual,caixa_100,80.3,75.74,35.09,106.0,70,3.0
luva_procedimento,2021,federal,caixa_100,90.0,82.76,14.27,100.0,10,7.0
luva_procedimento,2021,municipal,caixa_100,86.08,76.96,7.43,102.85,30,13.8
luva_procedimento,2022,estadual,caixa_100,25.23,25.57,15.23,45.6,56,3.0
luva_procedimento,2022,federal,caixa_100,35.62,35.06,30.0,39.0,4,1.3
luva_procedimento,2022,municipal,caixa_100,15.51,14.84,9.98,19.8,130,2.0
luva_procedimento,2023,estadual,caixa_100,15.9,16.28,6.0,25.93,37,4.3
luva_procedimento,2023,municipal,caixa_100,11.9,12.38,11.4,15.29,240,1.3
luva_procedimento,2024,estadual,caixa_100,22.9,23.26,15.25,36.9,56,2.4
luva_procedimento,2024,federal,caixa_100,33.99,33.99,29.99,37.99,2,1.3
luva_procedimento,2024,municipal,caixa_100,13.6,15.31,7.77,23.98,247,3.1
luva_procedimento,2025,federal,caixa_100,61.25,66.75,61.25,75.0,5,1.2
luva_procedimento,2025,municipal,caixa_100,20.0,19.55,14.5,26.59,180,1.8
luva_procedimento,2026,municipal,caixa_100,16.9,17.42,15.86,19.82,155,1.2
maca_fruta,2019,municipal,kg,4.65,4.65,4.65,4.65,2,1.0
