fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
federal,argamassa,2019,Federal/ES,4.95,kg,heuristica,ARGAMASSA
federal,alcool,2019,Federal/ES,5.7,litro,heuristica,ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES
federal,toner,2019,Federal/ES,100.0,unidade,unitario,CARTUCHO TONER IMPRESSORA SAMSUNG
federal,toner,2019,Federal/ES,70.0,unidade,unitario,CARTUCHO TONER IMPRESSORA HP
federal,grampeador,2019,Federal/ES,15.9,unidade,unitario,GRAMPEADOR
federal,apontador,2019,Federal/ES,1.25,unidade,unitario,APONTADOR LÁPIS
federal,suco,2019,Federal/ES,11.85,litro,heuristica,SUCO
federal,extintor,2019,Federal/ES,60.0,unidade,unitario,MANÔMETRO EXTINTOR INCÊNDIO
federal,extintor,2019,Federal/ES,60.0,unidade,unitario,MANÔMETRO EXTINTOR INCÊNDIO
federal,argamassa,2019,Federal/ES,9.0,kg,heuristica,ARGAMASSA REFRATARIA
federal,argamassa,2019,Federal/ES,9.0,kg,heuristica,ARGAMASSA REFRATARIA
federal,argamassa,2019,Federal/ES,4.46,kg,heuristica,ARGAMASSA
federal,argamassa,2019,Federal/ES,4.46,kg,heuristica,ARGAMASSA
federal,grampeador,2019,Federal/ES,24.0,unidade,unitario,GRAMPEADOR
federal,ar_condicionado,2019,Federal/ES,3000.0,unidade,unitario,AR CONDICIONADO - INSTALACAO/MONTAGEM/DESMONATAGEM/REMOÇÃO -(PAREDE / SISTEMAS)
federal,carne_bovina,2019,Federal/ES,13.0,kg,heuristica,CARNE BOVINA IN NATURA
federal,leite_integral,2019,Federal/ES,2.65,litro,heuristica,LEITE FLUIDO
federal,leite_integral,2019,Federal/ES,2.65,litro,heuristica,LEITE FLUIDO
federal,aas,2019,Federal/ES,0.04,unidade,unitario,ÁCIDO ACETILSALICÍLICO
federal,atenolol,2019,Federal/ES,0.06,unidade,unitario,ATENOLOL
federal,captopril,2019,Federal/ES,0.04,unidade,unitario,CAPTOPRIL
federal,dexametasona,2019,Federal/ES,0.8,unidade,unitario,DEXAMETASONA
federal,diazepam,2019,Federal/ES,1.29,unidade,unitario,DIAZEPAM
federal,propranolol,2019,Federal/ES,0.04,unidade,unitario,PROPRANOLOL CLORIDRATO
